date,strategy_cum_return,benchmark_cum_return
2026-01-21,-0.16341286694454926,-0.04019819804972169
2026-01-22,-0.17833048036865273,-0.04179552614132909
2026-01-23,-0.18291118668519724,-0.040384340741107194
2026-01-26,-0.180753508030562,-0.03635253316486753
2026-01-27,-0.16935764679634224,-0.029601310708542994
2026-01-28,-0.16973506853506215,-0.028850291267431327
2026-01-29,-0.16292676915204118,-0.020466962083399487
2026-01-30,-0.1414964739949035,-0.017823399310080923
2026-02-02,-0.1397869715625617,-0.018998226966678078
2026-02-03,-0.12937565718727595,-0.016245070082913204
2026-02-04,-0.11982446508786082,-0.014203507472873689
2026-02-05,-0.09376032164773829,-0.015319639634439275
2026-02-06,-0.07549403603821292,-0.020476932267123882
2026-02-09,-0.07958277252414558,-0.011053293234304928
2026-02-10,-0.0644580280207725,-0.005696832533214957
2026-02-11,-0.07956044753881775,-0.017197474224218467
2026-02-12,-0.07650419979705214,-0.015969349201830574
2026-02-13,-0.06294087761003453,-0.009826538404591578
2026-02-16,-0.03817816606989155,0.00982205657740165
2026-02-17,-0.05249173743951263,-0.00014301475856393076
2026-02-18,-0.03373839316542426,0.012472161050024466
2026-02-19,-0.03029785051622469,0.019384003097568492
2026-02-20,-0.0439343371642954,0.01445120286182311
2026-02-23,-0.049109770886142656,0.018575653488549726
2026-02-24,-0.04055848693778452,0.025599509483438254
2026-02-25,-0.04519790799351686,0.01627553582795982
2026-02-26,-0.046212636716335354,0.013570084892746248
2026-02-27,-0.05218473687264347,0.011742891016611079
2026-03-02,-0.06754814418534372,0.013330699478581787
2026-03-03,-0.0770752749019108,0.009819531489557498
2026-03-04,-0.084298696302748,0.005469127974515153
2026-03-05,-0.08276917388754446,0.008151270949013911
2026-03-06,-0.06307649009501126,0.01031955315621258
2026-03-09,-0.0544570668113874,0.006896961438042082
2026-03-10,-0.06169456504926296,0.008732069485038574
2026-03-11,-0.0696768999465146,0.016339857050189366
2026-03-12,-0.07903180067189264,0.01422083530639151
2026-03-13,-0.06793420853096999,0.01293464581082815
2026-03-16,-0.041365238002545546,0.014947621515893905
2026-03-17,-0.03882190749496772,0.01523478830882885
2026-03-18,-0.0368484737910163,0.018648651384138626
2026-03-19,-0.031711746913105854,0.020326838524692636
2026-03-20,-0.03044479511896514,0.025197523108709152
2026-03-23,-0.040412364681612245,0.03366583357027997
2026-03-24,-0.046661352342544093,0.04679689567134293
2026-03-25,-0.044025351612068775,0.04665944242933495
2026-03-26,-0.04529218616698549,0.044764617642339743
2026-03-27,-0.03776338088898179,0.03894481119568449
2026-03-30,-0.05340218493981641,0.03259193708600505
2026-03-31,-0.06393769307877484,0.039250546326660585
2026-04-01,-0.0426153372278385,0.0489512186061809
2026-04-02,-0.05108382932940636,0.048752602179435334
2026-04-03,-0.029758644992020855,0.05900152879823284
2026-04-06,-0.022434547891892143,0.06097615144651858
2026-04-07,-0.02557425010833314,0.06212381939521494
2026-04-08,-0.01391559949594201,0.06527275238423402
